Timestamp,FruitRecognized,FruitGiven
2024-11-11T23:45:32.159680,orange,orange
2024-11-11T23:45:45.388244,pear,pear
2024-11-11T23:45:58.707158,orange,orange
2024-11-11T23:46:12.050023,orange,orange
2024-11-11T23:46:55.806947,apple,apple
2024-11-11T23:47:18.750978,pear,pear
2024-11-11T23:47:27.428655,pear,pear
2024-11-11T23:47:44.880675,apple,apple
2024-11-11T23:48:18.424875,pear,pear
2024-11-11T23:48:26.880338,orange,orange
2024-11-11T23:48:35.421187,orange,orange
2024-11-11T23:49:07.751311,pear,pear
2024-11-11T23:49:16.399729,orange,orange
2024-11-11T23:49:34.882052,pear,pear
2024-11-11T23:49:46.711132,pear,pear
2024-11-11T23:50:01.331062,orange,orange
2024-11-11T23:50:33.274618,pear,pear
2024-11-11T23:50:41.883066,orange,orange
2024-11-11T23:50:57.790155,apple,apple
2024-11-11T23:51:15.962006,orange,orange
2024-11-11T23:51:30.790515,apple,apple
2024-11-11T23:51:45.464020,pear,pear
2024-11-11T23:51:52.337275,orange,orange
2024-11-11T23:52:07.490307,pear,pear
2024-11-11T23:52:23.092588,pear,pear
2024-11-11T23:52:35.292051,orange,orange
2024-11-11T23:52:43.575202,apple,apple
2024-11-11T23:53:04.467049,pear,pear
2024-11-11T23:53:12.048256,pear,pear
2024-11-11T23:53:47.745195,apple,apple
2024-11-11T23:54:05.709025,orange,orange
2024-11-11T23:54:24.186663,pear,pear
2024-11-11T23:54:35.670912,pear,pear
2024-11-11T23:54:49.060893,orange,orange
2024-11-11T23:55:01.575326,orange,orange
2024-11-11T23:55:35.855512,apple,apple
2024-11-11T23:55:54.424438,apple,apple
2024-11-11T23:56:16.141329,pear,pear
2024-11-11T23:56:22.729904,orange,orange
2024-11-11T23:56:37.500145,orange,orange
2024-11-11T23:57:04.966104,apple,apple
2024-11-11T23:57:27.056629,pear,pear
2024-11-11T23:57:35.853110,orange,orange
2024-11-11T23:57:44.469975,pear,pear
2024-11-11T23:58:11.257205,apple,apple
2024-11-11T23:58:30.398363,orange,orange
2024-11-11T23:58:47.975955,orange,orange
2024-11-11T23:59:17.325152,apple,apple
2024-11-11T23:59:38.696895,orange,orange
2024-11-11T23:59:47.143597,orange,orange
2024-11-12T00:00:01.813761,pear,pear
2024-11-12T00:00:13.208406,orange,orange
2024-11-12T00:00:21.373945,apple,apple
2024-11-12T00:00:42.596031,pear,pear
2024-11-12T00:00:50.111528,pear,pear
2024-11-12T00:00:59.326819,orange,orange
2024-11-12T00:01:35.479362,pear,pear
2024-11-12T00:01:44.215243,pear,pear
2024-11-12T00:02:13.136714,pear,pear
2024-11-12T00:02:23.288356,orange,orange
2024-11-12T00:02:55.460336,apple,apple
2024-11-12T00:03:13.616449,apple,apple
2024-11-12T00:03:35.066073,apple,apple
2024-11-12T00:03:43.571927,pear,pear
2024-11-12T00:03:54.743583,apple,apple
2024-11-12T00:04:22.471053,orange,orange
2024-11-12T00:04:35.753755,orange,orange
2024-11-12T00:04:54.329307,orange,orange
2024-11-12T00:05:06.541683,pear,pear
2024-11-12T00:05:19.844461,orange,orange
2024-11-12T00:05:31.728080,orange,orange
2024-11-12T00:06:06.421368,pear,pear
2024-11-12T00:06:12.554146,pear,pear
2024-11-12T00:06:22.704959,pear,pear
2024-11-12T00:06:36.341661,orange,orange
2024-11-12T00:06:47.938754,orange,orange
2024-11-12T00:07:09.350896,orange,orange
2024-11-12T00:07:21.549656,pear,pear
2024-11-12T00:07:29.767105,orange,orange
2024-11-12T00:07:40.499419,orange,orange
2024-11-12T00:07:52.231061,pear,pear
2024-11-12T00:08:09.721909,pear,pear
2024-11-12T00:08:30.291482,pear,pear
2024-11-12T00:08:55.375430,apple,apple
2024-11-12T00:09:16.407120,pear,pear
2024-11-12T00:09:24.251328,apple,apple
2024-11-12T00:09:47.383334,apple,apple
2024-11-12T00:10:06.539144,pear,pear
2024-11-12T00:10:20.260205,orange,orange
2024-11-12T00:10:51.950639,apple,apple
2024-11-12T00:11:12.948725,orange,orange
2024-11-12T00:11:21.464360,orange,orange
2024-11-12T00:11:52.491902,pear,pear
2024-11-12T00:12:01.172740,apple,apple
2024-11-12T00:12:31.461712,pear,pear
2024-11-12T00:12:40.617735,orange,orange
2024-11-12T00:12:53.610917,apple,apple
2024-11-12T00:13:13.941865,pear,pear
2024-11-12T00:13:21.783463,apple,apple
2024-11-12T00:13:51.131599,orange,orange
2024-11-12T00:14:05.723042,apple,apple
2024-11-12T00:14:26.568092,pear,pear
2024-11-12T00:14:34.061317,apple,apple
2024-11-12T00:15:08.983257,orange,orange
2024-11-12T00:15:16.524355,pear,pear
2024-11-12T00:15:42.900183,orange,orange
2024-11-12T00:15:52.658112,apple,apple
2024-11-12T00:16:11.076129,orange,orange
2024-11-12T00:16:29.351105,apple,apple
2024-11-12T00:16:47.105101,apple,apple
2024-11-12T00:17:08.611347,orange,orange
2024-11-12T00:17:17.387168,orange,orange
2024-11-12T00:17:22.390571,orange,orange
2024-11-12T00:17:34.422008,orange,orange
2024-11-12T00:17:57.994688,orange,orange
2024-11-12T00:18:16.185531,apple,apple
2024-11-12T00:18:34.360051,orange,orange
2024-11-12T00:18:52.570374,apple,apple
2024-11-12T00:19:12.201016,apple,apple
2024-11-12T00:19:23.143247,orange,orange
2024-11-12T00:19:43.339461,apple,apple
2024-11-12T00:20:04.481943,apple,apple
2024-11-12T00:20:23.513055,pear,pear
2024-11-12T00:20:34.402436,apple,apple
2024-11-12T00:21:04.001198,pear,pear
2024-11-12T00:21:12.329061,apple,apple
2024-11-12T00:21:43.734548,apple,apple
2024-11-12T00:22:05.146276,apple,apple
2024-11-12T00:22:25.520379,orange,orange
2024-11-12T00:22:38.942617,apple,apple
2024-11-12T00:22:58.927268,pear,pear
2024-11-12T00:23:08.293549,pear,pear
2024-11-12T00:23:37.728481,apple,apple
2024-11-12T00:23:55.463109,apple,apple
2024-11-12T00:24:17.966288,pear,pear
2024-11-12T00:24:25.357506,pear,pear
2024-11-12T00:24:34.121726,apple,apple
2024-11-12T00:24:54.107787,orange,orange
2024-11-12T00:25:08.320658,orange,orange
2024-11-12T00:25:26.909417,pear,pear
2024-11-12T00:25:38.146233,orange,orange
2024-11-12T00:25:47.046121,pear,pear
2024-11-12T00:25:59.846316,apple,apple
2024-11-12T00:26:32.477315,orange,orange
2024-11-12T00:26:40.587133,pear,pear
2024-11-12T00:27:04.998675,pear,pear
2024-11-12T00:27:18.705789,pear,pear
2024-11-12T00:27:26.996085,apple,apple
2024-11-12T00:27:47.913089,apple,apple
2024-11-12T00:28:06.906523,pear,pear
2024-11-12T00:28:17.783449,apple,apple
2024-11-12T00:28:45.031380,orange,orange
2024-11-12T00:28:53.028369,apple,apple
2024-11-12T00:29:13.884752,orange,orange
2024-11-12T00:29:26.733481,pear,pear
2024-11-12T00:29:41.263795,apple,apple
2024-11-12T00:30:12.168913,pear,pear
2024-11-12T00:30:22.505889,orange,orange
2024-11-12T00:30:35.395065,orange,orange
2024-11-12T00:30:51.108504,pear,pear
2024-11-12T00:30:58.853179,pear,pear
2024-11-12T00:31:07.510325,orange,orange
2024-11-12T00:31:43.587244,pear,pear
2024-11-12T00:31:51.702430,pear,pear
2024-11-12T00:32:21.753349,orange,orange
2024-11-12T00:32:31.091787,orange,orange
2024-11-12T00:33:04.093590,orange,orange
2024-11-12T00:33:12.299222,orange,orange
2024-11-12T00:33:25.310052,apple,apple
